Year,Award,Movie,Nominee,Winner
2000,ACTOR IN A LEADING ROLE,American Beauty,Kevin Spacey,1
2000,ACTOR IN A LEADING ROLE,The Insider,Russell Crowe,0
2000,ACTOR IN A LEADING ROLE,The Straight Story,Richard Farnsworth,0
2000,ACTOR IN A LEADING ROLE,Sweet and Lowdown,Sean Penn,0
2000,ACTOR IN A LEADING ROLE,The Hurricane,Denzel Washington,0
2001,ACTOR IN A LEADING ROLE,Gladiator,Russell Crowe,1
2001,ACTOR IN A LEADING ROLE,Before Night Falls,Javier Bardem,0
2001,ACTOR IN A LEADING ROLE,Cast Away,Tom Hanks,0
2001,ACTOR IN A LEADING ROLE,Pollock,Ed Harris,0
2001,ACTOR IN A LEADING ROLE,Quills,Geoffrey Rush,0
2002,ACTOR IN A LEADING ROLE,Training Day,Denzel Washington,1
2002,ACTOR IN A LEADING ROLE,A Beautiful Mind,Russell Crowe,0
2002,ACTOR IN A LEADING ROLE,I Am Sam,Sean Penn,0
2002,ACTOR IN A LEADING ROLE,Ali,Will Smith,0
2002,ACTOR IN A LEADING ROLE,In the Bedroom,Tom Wilkinson,0
2003,ACTOR IN A LEADING ROLE,The Pianist,Adrien Brody,1
2003,ACTOR IN A LEADING ROLE,Adaptation,Nicolas Cage,0
2003,ACTOR IN A LEADING ROLE,The Quiet American,Michael Caine,0
2003,ACTOR IN A LEADING ROLE,Gangs of New York,Daniel Day-Lewis,0
2003,ACTOR IN A LEADING ROLE,About Schmidt,Jack Nicholson,0
2004,ACTOR IN A LEADING ROLE,Mystic River,Sean Penn,1
2004,ACTOR IN A LEADING ROLE,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,0
2004,ACTOR IN A LEADING ROLE,House of Sand and Fog,Ben Kingsley,0
2004,ACTOR IN A LEADING ROLE,Cold Mountain,Jude Law,0
2004,ACTOR IN A LEADING ROLE,Lost in Translation,Bill Murray,0
2005,ACTOR IN A LEADING ROLE,Ray,Jamie Foxx,1
2005,ACTOR IN A LEADING ROLE,Hotel Rwanda,Don Cheadle,0
2005,ACTOR IN A LEADING ROLE,Finding Neverland,Johnny Depp,0
2005,ACTOR IN A LEADING ROLE,The Aviator,Leonardo DiCaprio,0
2005,ACTOR IN A LEADING ROLE,Million Dollar Baby,Clint Eastwood,0
2006,ACTOR IN A LEADING ROLE,Capote,Philip Seymour Hoffman,1
2006,ACTOR IN A LEADING ROLE,Hustle & Flow,Terrence Howard,0
2006,ACTOR IN A LEADING ROLE,Brokeback Mountain,Heath Ledger,0
2006,ACTOR IN A LEADING ROLE,Walk the Line,Joaquin Phoenix,0
2006,ACTOR IN A LEADING ROLE,Good Night  and Good Luck.,David Strathairn,0
2007,ACTOR IN A LEADING ROLE,The Last King of Scotland,Forest Whitaker,1
2007,ACTOR IN A LEADING ROLE,Blood Diamond,Leonardo DiCaprio,0
2007,ACTOR IN A LEADING ROLE,Half Nelson,Ryan Gosling,0
2007,ACTOR IN A LEADING ROLE,Venus,Peter O'Toole,0
2007,ACTOR IN A LEADING ROLE,The Pursuit of Happyness,Will Smith,0
2008,ACTOR IN A LEADING ROLE,There Will Be Blood,Daniel Day-Lewis,1
2008,ACTOR IN A LEADING ROLE,Michael Clayton,George Clooney,0
2008,ACTOR IN A LEADING ROLE,Sweeney Todd The Demon Barber of Fleet Street,Johnny Depp,0
2008,ACTOR IN A LEADING ROLE,In the Valley of Elah,Tommy Lee Jones,0
2008,ACTOR IN A LEADING ROLE,Eastern Promises,Viggo Mortensen,0
2009,ACTOR IN A LEADING ROLE,Milk,Sean Penn,1
2009,ACTOR IN A LEADING ROLE,The Visitor,Richard Jenkins,0
2009,ACTOR IN A LEADING ROLE,Frost/Nixon,Frank Langella,0
2009,ACTOR IN A LEADING ROLE,The Curious Case of Benjamin Button,Brad Pitt,0
2009,ACTOR IN A LEADING ROLE,The Wrestler,Mickey Rourke,0
2010,ACTOR IN A LEADING ROLE,Crazy Heart,Jeff Bridges,1
2010,ACTOR IN A LEADING ROLE,Up in the Air,George Clooney,0
2010,ACTOR IN A LEADING ROLE,A Single Man,Colin Firth,0
2010,ACTOR IN A LEADING ROLE,Invictus,Morgan Freeman,0
2010,ACTOR IN A LEADING ROLE,The Hurt Locker,Jeremy Renner,0
2011,ACTOR IN A LEADING ROLE,The King's Speech,Colin Firth,1
2011,ACTOR IN A LEADING ROLE,Biutiful,Javier Bardem,0
2011,ACTOR IN A LEADING ROLE,True Grit,Jeff Bridges,0
2011,ACTOR IN A LEADING ROLE,The Social Network,Jesse Eisenberg,0
2011,ACTOR IN A LEADING ROLE,127 Hours,James Franco,0
